country_id,country_name,population,Abbreviation,Capital City,Continent,
1,Afghanistan,"42,239,854",AFG,Kabul,Asia,
2,Albania,"2,832,439",ALB,Tirana,Europe,
3,Algeria,"45,606,480",DZA,Algiers,Africa,
4,Andorra,"80,088",AND,Andorra la Vella,Europe,
5,Angola,"36,684,202",AGO,Luanda,Africa,
6,Antigua and Barbuda,"94,298",ATG,St. John's,N. America,
7,Argentina,"45,773,884",ARG,Buenos Aires,S. America,
8,Armenia,"2,777,970",ARM,Yerevan,Asia,
9,Australia,"26,439,111",AUS,Canberra,Australia,
10,Austria,"8,958,960",AUT,Vienna,Europe,
11,Azerbaijan,"10,412,651",AZE,Baku,Asia,
12,Bahamas,"412,623",BHS,Nassau,N. America,
13,Bahrain,"1,485,509",BHR,Manama,Asia,
14,Bangladesh,"172,954,319",BGD,Dhaka,Asia,
15,Barbados,"281,995",BRB,Bridgetown,N. America,
16,Belarus,"9,498,238",BLR,Minsk,Europe,
17,Belgium,"11,686,140",BEL,Brussels,Europe,
18,Belize,"410,825",BLZ,Belmopan,N. America,
19,Benin,"13,712,828",BEN,Porto-Novo,Africa,
20,Bhutan,"787,424",BTN,Thimphu,Asia,
21,Bolivia,"12,388,571",BOL,La Paz,S. America,
22,Bosnia and Herzegovina,"3,210,847",BIH,Sarajevo,Europe,
23,Botswana,"2,675,352",BWA,Gaborone,Africa,
24,Brazil,"216,422,446",BRA,Brasília,S. America,
25,Brunei,"452,524",BRN,Bandar Seri Begawan,Asia,
26,Bulgaria,"6,687,717",BGR,Sofia,Europe,
27,Burkina Faso,"23,251,485",BFA,Ouagadougou,Africa,
28,Burundi,"13,238,559",BDI,Gitega,Africa,
29,Côte d'Ivoire,"28,873,034",CPV,Praia,Africa,
30,Cabo Verde,"598,682",KHM,Phnom Penh,Asia,
31,Cambodia,"16,944,826",CMR,Yaoundé,Africa,
32,Cameroon,"28,647,293",CAN,Ottawa,N. America,
33,Canada,"38,781,291",CAF,Bangui,Africa,
34,Central African Republic,"5,742,315",TCD,N'Djamena,Africa,
35,Chad,"18,278,568",CHL,Santiago,S. America,
36,Chile,"19,629,590",CHN,Beijing,Asia,
37,China,"1,425,671,352",COL,Bogotá,S. America,
38,Colombia,"52,085,168",COM,Moroni,Africa,
39,Comoros,"852,075",COG,Brazzaville,Africa,
40,Congo (Congo-Brazzaville),"6,106,869",CRI,San José,N. America,
41,Costa Rica,"5,212,173",CIV,Yamoussoukro,Africa,
42,Croatia,"4,008,617",HRV,Zagreb,Europe,
43,Cuba,"11,194,449",CUB,Havana,N. America,
44,Cyprus,"1,260,138",CYP,Nicosia,Asia,
45,Czechia (Czech Republic),"10,495,295",CZE,Prague,Europe,
46,Democratic Republic of the Congo,"102,262,808",DNK,Copenhagen,Europe,
47,Denmark,"5,910,913",DJI,Djibouti,Africa,
48,Djibouti,"1,136,455",DMA,Roseau,N. America,
49,Dominica,"73,040",DOM,Santo Domingo,N. America,
50,Dominican Republic,"11,332,972",COD,Kinshasa,Africa,
51,Ecuador,"18,190,484",ECU,Quito,S. America,
52,Egypt,"112,716,598",EGY,Cairo,Africa,
53,El Salvador,"6,364,943",SLV,San Salvador,N. America,
54,Equatorial Guinea,"1,714,671",GNQ,Malabo,Africa,
55,Eritrea,"3,748,901",ERI,Asmara,Africa,
56,Estonia,"1,322,765",EST,Tallinn,Europe,
57,"Eswatini (fmr. ""Swaziland"")","1,210,822",SWZ,Mbabane,Africa,
58,Ethiopia,"126,527,060",ETH,Addis Ababa,Africa,
59,Fiji,"936,375",FJI,Suva,Australia,
60,Finland,"5,545,475",FIN,Helsinki,Europe,
61,France,"64,756,584",FRA,Paris,Europe,
62,Gabon,"2,436,566",GAB,Libreville,Africa,
63,Gambia,"2,773,168",GMB,Banjul,Africa,
64,Georgia,"3,728,282",GEO,Tbilisi,Asia,
65,Germany,"83,294,633",DEU,Berlin,Europe,
66,Ghana,"34,121,985",GHA,Accra,Africa,
67,Greece,"10,341,277",GRC,Athens,Europe,
68,Grenada,"126,183",GRD,St. George's,N. America,
69,Guatemala,"18,092,026",GTM,Guatemala City,N. America,
70,Guinea,"14,190,612",GIN,Conakry,Africa,
71,Guinea-Bissau,"2,150,842",GNB,Bissau,Africa,
72,Guyana,"813,834",GUY,Georgetown,S. America,
73,Haiti,"11,724,763",HTI,Port-au-Prince,N. America,
74,Holy See,518,VAT,Vatican City,Europe,
75,Honduras,"10,593,798",HND,Tegucigalpa,N. America,
76,Hungary,"10,156,239",HUN,Budapest,Europe,
77,Iceland,"375,318",ISL,Reykjavik,Europe,
78,India,"1,428,627,663",IND,New Delhi,Asia,
79,Indonesia,"277,534,122",IDN,Jakarta,Asia,
80,Iran,"89,172,767",IRN,Tehran,Asia,
81,Iraq,"45,504,560",IRQ,Baghdad,Asia,
82,Ireland,"5,056,935",IRL,Dublin,Europe,
83,Israel,"9,174,520",ISR,Jerusalem,Asia,
84,Italy,"58,870,762",ITA,Rome,Europe,
85,Jamaica,"2,825,544",JAM,Kingston,N. America,
86,Japan,"123,294,513",JPN,Tokyo,Asia,
87,Jordan,"11,337,052",JOR,Amman,Asia,
88,Kazakhstan,"19,606,633",KAZ,Nur-Sultan,Asia,
89,Kenya,"55,100,586",KEN,Nairobi,Africa,
90,Kiribati,"133,515",KIR,South Tarawa,Australia,
91,Kuwait,"4,310,108",KWT,Kuwait City,Asia,
92,Kyrgyzstan,"6,735,347",KGZ,Bishkek,Asia,
93,Laos,"7,633,779",LAO,Vientiane,Asia,
94,Latvia,"1,830,211",LVA,Riga,Europe,
95,Lebanon,"5,353,930",LBN,Beirut,Asia,
96,Lesotho,"2,330,318",LSO,Maseru,Africa,
97,Liberia,"5,418,377",LBR,Monrovia,Africa,
98,Libya,"6,888,388",LBY,Tripoli,Africa,
99,Liechtenstein,"39,584",LIE,Vaduz,Europe,
100,Lithuania,"2,718,352",LTU,Vilnius,Europe,
101,Luxembourg,"654,768",LUX,Luxembourg City,Europe,
102,Madagascar,"30,325,732",MDG,Antananarivo,Africa,
103,Malawi,"20,931,751",MWI,Lilongwe,Africa,
104,Malaysia,"34,308,525",MYS,Kuala Lumpur,Asia,
105,Maldives,"521,021",MDV,Male,Asia,
106,Mali,"23,293,698",MLI,Bamako,Africa,
107,Malta,"535,064",MLT,Valletta,Europe,
108,Marshall Islands,"41,996",MHL,Majuro,Australia,
109,Mauritania,"4,862,989",MRT,Nouakchott,Africa,
110,Mauritius,"1,300,557",MUS,Port Louis,Africa,
111,Mexico,"128,455,567",MEX,Mexico City,N. America,
112,Micronesia,"544,321",FSM,Palikir,Australia,
113,Moldova,"3,435,931",MDA,Chisinau,Europe,
114,Monaco,"36,297",MCO,Monaco,Europe,
115,Mongolia,"3,447,157",MNG,Ulaanbaatar,Asia,
116,Montenegro,"626,485",MNE,Podgorica,Europe,
117,Morocco,"37,840,044",MAR,Rabat,Africa,
118,Mozambique,"33,897,354",MOZ,Maputo,Africa,
119,Myanmar (formerly Burma),"54,577,997",MMR,Naypyidaw,Asia,
120,Namibia,"2,604,172",NAM,Windhoek,Africa,
121,Nauru,"12,780",NRU,Yaren District,Australia,
122,Nepal,"30,896,590",NPL,Kathmandu,Asia,
123,Netherlands,"17,618,299",NLD,Amsterdam,Europe,
124,New Zealand,"5,228,100",NZL,Wellington,Australia,
125,Nicaragua,"7,046,310",NIC,Managua,N. America,
126,Niger,"27,202,843",NER,Niamey,Africa,
127,Nigeria,"223,804,632",NGA,Abuja,Africa,
128,North Korea,"26,160,821",PRK,Pyongyang,Asia,
129,North Macedonia,"2,085,679",MKD,Skopje,Europe,
130,Norway,"5,474,360",NOR,Oslo,Europe,
131,Oman,"4,644,384",OMN,Muscat,Asia,
132,Pakistan,"240,485,658",PAK,Islamabad,Asia,
133,Palau,"18,058",PLW,Ngerulmud,Australia,
134,Palestine State,"5,371,230",PAN,Panama City,N. America,
135,Panama,"4,468,087",PNG,Port Moresby,Australia,
136,Papua New Guinea,"10,329,931",PRY,Asunción,S. America,
137,Paraguay,"6,861,524",PER,Lima,S. America,
138,Peru,"34,352,719",PHL,Manila,Asia,
139,Philippines,"117,337,368",POL,Warsaw,Europe,
140,Poland,"41,026,067",PRT,Lisbon,Europe,
141,Portugal,"10,247,605",QAT,Doha,Asia,
142,Qatar,"2,716,391",ROM,Bucharest,Europe,
143,Romania,"19,892,812",RUS,Moscow,Europe,
144,Russia,"144,444,359",RWA,Kigali,Africa,
145,Rwanda,"14,094,683",KNA,Basseterre,N. America,
146,Saint Kitts and Nevis,"47,755",LCA,Castries,N. America,
147,Saint Lucia,"180,251",WSM,Apia,Australia,
148,Saint Vincent and the Grenadines,"103,698",SMR,San Marino,Europe,
149,Samoa,"225,681",STP,São Tomé,Africa,
150,San Marino,"33,642",SAU,Riyadh,Asia,
151,Sao Tome and Principe,"231,856",SEN,Dakar,Africa,
152,Saudi Arabia,"36,947,025",SRB,Belgrade,Europe,
153,Senegal,"17,763,163",SYC,Victoria,Africa,
154,Serbia,"7,149,077",SLE,Freetown,Africa,
155,Seychelles,"107,660",SGP,Singapore,Asia,
156,Sierra Leone,"8,791,092",SVK,Bratislava,Europe,
157,Singapore,"6,014,723",SVN,Ljubljana,Europe,
158,Slovakia,"5,795,199",SLB,Honiara,Australia,
159,Slovenia,"2,119,675",SOM,Mogadishu,Africa,
160,Solomon Islands,"740,424",ZAF,Cape Town,Africa,
161,Somalia,"18,143,378",KOR,Seoul,Asia,
162,South Africa,"60,414,495",SSD,Juba,Africa,
163,South Korea,"51,784,059",ESP,Madrid,Europe,
164,South Sudan,"11,088,796",LKA,Sri Jayawardenepura Kotte,Asia,
165,Spain,"47,519,628",VCT,Kingstown,N. America,
166,Sri Lanka,"21,893,579",PSE,Ramallah,Asia,
167,Sudan,"48,109,006",SDN,Khartoum,Africa,
168,Suriname,"623,236",SUR,Paramaribo,S. America,
169,Sweden,"10,612,086",SWE,Stockholm,Europe,
170,Switzerland,"8,796,669",CHE,Bern,Europe,
171,Syria,"23,227,014",SYR,Damascus,Asia,
172,Tajikistan,"10,143,543",TJK,Dushanbe,Asia,
173,Tanzania,"67,438,106",TZA,Dodoma,Africa,
174,Thailand,"71,801,279",THA,Bangkok,Asia,
175,Timor-Leste,"1,360,596",TLS,Dili,Asia,
176,Togo,"9,053,799",TGO,Lomé,Africa,
177,Tonga,"107,773",TON,Nuku'alofa,Australia,
178,Trinidad and Tobago,"1,534,937",TTO,Port of Spain,N. America,
179,Tunisia,"12,458,223",TUN,Tunis,Africa,
180,Turkey,"85,816,199",TUR,Ankara,Asia,
181,Turkmenistan,"6,516,100",TKM,Ashgabat,Asia,
182,Tuvalu,"11,396",TUV,Funafuti,Australia,
183,Uganda,"48,582,334",UGA,Kampala,Africa,
184,Ukraine,"36,744,634",UKR,Kyiv,Europe,
185,United Arab Emirates,"9,516,871",ARE,Abu Dhabi,Asia,
186,United Kingdom,"67,736,802",GBR,London,Europe,
187,United States of America,"339,996,563",USA,Washington DC,N. America,
188,Uruguay,"3,423,108",URY,Montevideo,S. America,
189,Uzbekistan,"35,163,944",UZB,Tashkent,Asia,
190,Vanuatu,"334,506",VUT,Port Vila,Australia,
191,Venezuela,"28,838,499",VEN,Caracas,S. America,
192,Vietnam,"98,858,950",VNM,Hanoi,Asia,
193,Yemen,"34,449,825",YEM,Sana'a,Asia,
194,Zambia,"20,569,737",ZMB,Lusaka,Africa,
195,Zimbabwe,"16,665,409",ZWE,Harare,Africa,
